event_id,industry,country,initiating_company,responding_company,event_date,source_name,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes,response_observed_bin,regulatory_sensitivity_bin,response_lag_days_num,price_before_type,price_after_type,quantity_after_code,crisis_event
TIND_001,telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,01-05-2018,Economic Times,price reduction / data boost,Jio initiated price cuts across several prepaid packs (₹50 cuts or increased data allowances).,10% points,13% points,Standard,standard,No,no response,0,Increase (for Jio),positive for jio,oligopoly,No,Major disruptive price move; incumbents did not match immediately.,0,0,0,10% points,13% points,1,FALSE
TIND_002,telecom,India,Bharti Airtel,Reliance Jio,06-12-2018,ETTelecom / Economic Times,new plan / data boost,Airtel launched new prepaid plans (₹149/₹399 with 1GB/day); Jio responded same day with extra data promotion ('Double Dhamaka').,Neutral,Neutral,Standard,standard,Yes,alternative offer / data boost,0,Neutral,neutral,oligopoly,No,Same-day competitive data promotions.,1,0,0,neutral,neutral,1,FALSE
TIND_003,telecom,India,Reliance Jio,Bharti Airtel,01-01-2021,TelecomTalk / news sources,promotion / free service (iuc removal),"Reliance Jio removed domestic IUC charges, effectively making off‑net voice calls free.",Neutral,Neutral,Standard,standard,Yes,partial match / public assurance (airtel emphasized no change in its unlimited calling),0,Neutral,neutral,oligopoly,Yes,IUC removal is TRAI‑sensitive; incumbents publicly reassured customers.,1,1,0,neutral,neutral,1,FALSE
TIND_004,telecom,India,Bharti Airtel,Reliance Jio,01-04-2021,India Today / news sources,quantity increase (data),Airtel upgraded its ₹199 plan to offer 1.5GB/day (matching Jio's offering).,Neutral,Neutral,Standard,standard,Yes,match,0,Neutral,neutral,oligopoly,No,Feature match to retain competitiveness.,1,0,0,neutral,neutral,1,FALSE
TIND_005,telecom,India,Bharti Airtel,Vodafone Idea; Reliance Jio,01-04-2021,Economic Times / Reuters,tariff hike (price increase),Airtel announced ~20–25% tariff hikes on prepaid plans; Vodafone Idea followed next day and Jio introduced pricier plans shortly after.,Neutral,Neutral,Standard,standard,Yes,match,1,Neutral,neutral/negative for price-sensitive customers,oligopoly,No,Coordinated industry tariff increases over a short window.,1,0,1,neutral,neutral,1,FALSE
TIND_006,telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,07-03-2024,Reuters / Economic Times,price hike,Reliance Jio enacted price increases on prepaid/postpaid to support 5G investment; Airtel/Vi raised tariffs in response.,10% points,15% points,Standard,standard,Yes,match,1,Neutral,neutral/negative,oligopoly,Yes,Hikes attracted TRAI scrutiny.,1,1,1,10% points,15% points,1,FALSE
TIND_007,telecom,India,Vodafone Idea,Reliance Jio; Bharti Airtel,07-04-2024,ETTelecom / Economic Times,price hike / new plans,Vodafone Idea introduced new prepaid plans up to ~40% costlier and added off‑net call charges; described as a standalone move.,Premium,Budget,Low SKU,high sku,No,no response,0,Neutral,neutral,oligopoly,No,Standalone strategic repricing by Vi.,0,0,0,premium,budget,1,FALSE
FIND_001,fmcg,India,Reliance Consumer Products (Campa),Coca‑Cola India,07-04-2024,Reuters,new product launch with price cut,"Campa re-launched with deep-discount pricing (e.g., 2L at ₹49; 200ml at ₹10 vs ₹20 for Coca‑Cola).",Neutral,Neutral,Standard,standard,Yes,alternative strategy (coke focused on distribution and ₹10 returnable glass bottles),0,Increase (for Campa in budget segment),positive for campa,competitive,No,Challenger pricing disrupted incumbents in smaller towns.,1,0,0,neutral,neutral,1,FALSE
FIND_002,fmcg,India,PepsiCo (planned response),Reliance Consumer Products (Campa),07-04-2024,Economic Times,new product planning (budget brand),PepsiCo planned a budget ‘B‑brand’ ~15–20% cheaper than flagship Pepsi to blunt Campa's growth.,Neutral,Discounted,Standard,standard,Yes ,alternative offer (planned),0,Neutral/Preventive,neutral,competitive,No,Planned defensive product to protect regional share.,1,0,0,neutral,discounted,1,FALSE
FIND_003,fmcg,India,Coca‑Cola India,Reliance Consumer Products (Campa),07-04-2024,Business Standard / Economic Times,distribution & brand strategy,"Coca‑Cola expanded distribution of ₹10 returnable glass bottles and planned regional/heritage brand reintroductions (e.g., RimZim).",Neutral,Bundled,Standard,bundle,Yes,alternative products / distribution push,0,Neutral,neutral,competitive,No,Tactical trade promotions rather than headline price cuts.,1,0,0,neutral,bundled,2,FALSE
FIND_004,fmcg,India,Tata Consumer Products,Reliance Consumer Products (Campa),03-05-2025,LiveMint / news sources,price adjustment (price cut),Tata Consumer reset price of Gluco Plus (ready-to-drink) in direct response to Campa's entry.,10% points,13% points,Standard,standard,Yes,match,0,Neutral,neutral,competitive,No,Defensive price move to stabilize RTD sales.,1,0,0,10% points,13% points,1,FALSE
FIND_005,fmcg,India,Coca‑Cola,PepsiCo,03-05-2025,NDTV / news sources,ad campaign / marketing,Coca‑Cola's 'Half‑Time' campaign was countered by PepsiCo's 'Anytime is Pepsi Time' campaign.,Neutral,Neutral,Standard,standard,Yes,alternative marketing campaign,0,Neutral,neutral,duopoly,No,Simultaneous celebrity-driven marketing responses.,1,0,0,neutral,neutral,1,FALSE
FIND_006,fmcg,India,Reliance Consumer Products (Campa),Coca‑Cola; PepsiCo,03-05-2025,Times of India / news sources,market share shift / incumbent price response,Market data showed Campa and Lahori Zeera gaining share in ₹10 segment; Coca‑Cola and PepsiCo launched new ₹10 packs.,Neutral,Neutral,Standard,standard,Yes,match (price-point introduction),0,Increase (for Campa/Lahori in ₹10 segment),negative for incumbents; positive for challengers,competitive,No,Incumbents cut into low-end price point to defend share.,1,0,0,neutral,neutral,1,FALSE
TIND_008,telecom,India,Reliance Jio,Bharti Airtel,12-06-2019,Economic Times,bundled plans,Jio launched All-in-One bundled plans combining data and voice.,Neutral,Neutral,Standard,same-day,Yes,alternative bundled plans,7,Neutral,positive,oligopoly,No,Bundling strategy intensified competition.,1,0,7,neutral,neutral,1,FALSE
TIND_009,telecom,India,Bharti Airtel,Reliance Jio,12-06-2019,ETTelecom,service bundling,Airtel bundled Xstream OTT services with prepaid plans.,Neutral,Neutral,Standard,standard,Yes,ott partnerships,14,Neutral,positive,oligopoly,No,Shift from price wars to value bundling.,1,0,14,neutral,neutral,1,FALSE
TIND_010,telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,10-01-2022,Reuters,technology launch (5g),Jio launched commercial 5G services across major cities.,Neutral,Neutral,Standard,experiential,Yes,5g rollout acceleration,30,Increase (for Jio),positive,oligopoly,Yes,First-mover advantage in 5G.,1,1,30,neutral,neutral,1,FALSE
FIND_007,fmcg,India,PepsiCo,Coca-Cola India,04-10-2022,Business Standard,new product launch,PepsiCo launched Sting energy drink at aggressive price points.,Premium,Budget,Low SKU,high sku,Yes,new energy drink focus,90,Neutral,positive,competitive,No,Expanded beyond colas into energy drinks.,1,0,90,premium,budget,1,FALSE
FIND_008,fmcg,India,Coca-Cola India,PepsiCo,07-01-2022,Economic Times,portfolio expansion,Coca-Cola expanded Kinley soda distribution nationwide.,Neutral,Neutral,Standard,standard,Yes,distribution push,60,Neutral,neutral,competitive,No,Focus on non-cola beverages.,1,0,60,neutral,neutral,1,FALSE
FIND_009,fmcg,India,Reliance Consumer Products,PepsiCo; Coca-Cola,02-01-2024,Reuters,distribution expansion,Reliance expanded Campa Cola distribution to tier-3 towns.,Neutral,Neutral,Standard,high speed,Yes,channel incentives,30,Increase (for Campa),positive,competitive,No,Deep rural penetration strategy.,1,0,30,missing,missing,4,FALSE
FIND_010,fmcg,India,PepsiCo,Coca-Cola,02-01-2024,Economic Times,price hike,PepsiCo marginally increased prices on select SKUs due to input costs.,Neutral,Neutral,Standard,digital offers,No,no response,0,Neutral,negative,competitive,No,Cost-led repricing.,0,0,0,neutral,neutral,1,FALSE
TIND_011,telecom,India,Reliance Jio,Bharti Airtel; Vodafone; Idea,09-05-2016,Economic Times / Reuters,free introductory offers (welcome offer),Market-wide price disruption; free voice & data,₹350,₹320,Standard,standard,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,₹350,₹320,1,FALSE
TIND_012,telecom,India,Bharti Airtel,Reliance Jio,04-01-2017,Economic Times / Reuters,free data promotion,Airtel offered free data to counter Jio Prime,₹350,₹350,Standard,standard,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,₹350,₹350,1,FALSE
TIND_013,telecom,India,Vodafone India,Idea Cellular,09-01-2017,Economic Times / Reuters,merger announcement,Vodafone–Idea merger to counter Jio scale,₹350,₹290,Standard,standard,Yes,competitive reaction,1,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,1,₹350,₹290,1,FALSE
TIND_014,telecom,India,Reliance Jio,Bharti Airtel,09-01-2017,Economic Times / Reuters,fiber broadband launch,Jio GigaFiber announced,Standard,Discounted,Standard,takeout,Yes,competitive reaction,1,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,1,standard,discounted,1,FALSE
TIND_015,telecom,India,Bharti Airtel,Vodafone Idea,09-01-2017,Economic Times / Reuters,postpaid bundle revamp,Airtel Platinum postpaid plans,₹600,₹500,Single Item,bundle,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,₹600,₹500,2,FALSE
TIND_016,telecom,India,All telcos,Consumers,09-01-2017,Economic Times / Reuters,covid relief measures,Extra data & validity extensions,₹350,₹400,Standard,standard,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,₹350,₹400,1,FALSE
TIND_017,telecom,India,Reliance Jio,Bharti Airtel,01-05-2024,Economic Times / Reuters,5g spectrum auction win,Largest spectrum acquisition,Neutral,Neutral,Limited,expanded,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,missing,missing,4,FALSE
TIND_018,telecom,India,Bharti Airtel,Reliance Jio,01-05-2024,Economic Times / Reuters,5g roaming launch,Airtel 5G Plus roaming,Standard,Discounted,Standard,standard,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,standard,discounted,1,FALSE
TIND_019,telecom,India,Vodafone Idea,Bharti Airtel; Jio,01-05-2024,Economic Times / Reuters,fund-raise announcement,"₹18,000 cr funding to stay competitive",Neutral,₹780,Low SKU,seasonal,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,missing,₹780,3,FALSE
TIND_020,telecom,India,Reliance Jio,Bharti Airtel,02-10-2025,Economic Times / Reuters,ai-powered network ops,Automation & AI rollout,₹400,₹430,Standard,standard,Yes,competitive reaction,0,Neutral,neutral,oligopoly,Yes,Expanded historical telecom event,1,1,0,₹400,₹430,1,FALSE
FIND_011,fmcg,India,Coca-Cola India,PepsiCo,05-01-2017,Economic Times / Business Standard,₹5/₹10 pack expansion,Affordable pricing push,₹550,₹490,Standard,set,Yes,competitive response,0,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,0,₹550,₹490,1,FALSE
FIND_012,fmcg,India,PepsiCo,Coca-Cola,06-10-2018,Economic Times / Business Standard,lay’s + pepsi combo,Bundled promotions,₹380,₹380,Standard,standard,Yes,competitive response,7,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,7,₹380,₹380,1,FALSE
FIND_013,fmcg,India,Parle Agro,Coca-Cola; PepsiCo,06-10-2018,Economic Times / Business Standard,frooti price cut,Aggressive mango drink pricing,Neutral,₹650,Low SKU,seasonal,Yes,competitive response,14,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,14,missing,₹650,3,FALSE
FIND_014,fmcg,India,Coca-Cola India,PepsiCo,04-01-2020,Economic Times / Business Standard,covid supply continuity,Essential supply focus,Standard,Discounted,Standard,expanded,Yes,competitive response,30,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,30,standard,discounted,4,FALSE
FIND_015,fmcg,India,PepsiCo,Coca-Cola,06-10-2018,Economic Times / Business Standard,sting energy expansion,Rapid energy drink rollout,₹426,₹600,Standard,premium,Yes,competitive response,90,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,90,₹426,₹600,4,FALSE
FIND_016,fmcg,India,Bisleri,Coca-Cola,01-12-2022,Economic Times / Business Standard,vedica premium water launch,Premiumisation,₹387,₹426,Standard,standard,Yes,competitive response,60,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,60,₹387,₹426,1,FALSE
FIND_017,fmcg,India,Parle Agro,Reliance Campa,12-01-2022,Economic Times / Business Standard,smoodh distribution expansion,Milk-based drinks growth,Neutral,Neutral,Limited,expanded,Yes,competitive response,30,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,30,missing,missing,4,FALSE
FIND_018,fmcg,India,Reliance Campa,Coca-Cola; PepsiCo,12-01-2022,Economic Times / Business Standard,₹10 cola expansion,Deep price competition,Standard,Discounted,Standard,standard,Yes,competitive response,0,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,0,standard,discounted,1,FALSE
FIND_019,fmcg,India,PepsiCo,Local brands,05-09-2024,Economic Times / Business Standard,localised flavours launch,Regional taste strategy,Neutral,₹580,Standard,seasonal,Yes,competitive response,7,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,7,missing,₹580,3,FALSE
FIND_020,fmcg,India,Coca-Cola India,PepsiCo,05-09-2024,Economic Times / Business Standard,sustainable packaging rollout,rPET bottle adoption,₹468,₹498,Standard,standard,Yes,competitive response,14,Neutral,neutral,competitive,No,Expanded historical FMCG event,1,0,14,₹468,₹498,1,FALSE
